RecordKey,IsrcValue,Datestamp
9d4fd1f7-a131-4e56-84d6-8bb3c4c72059,GBCBU7410336,2021-09-02 20:08:22.652984
4c1785d7-af89-454d-acc1-e4abc4ca4666,GBF087500146,2021-09-02 20:08:22.652984
9b58f364-e3f6-4e86-b694-63a3db48f767,GBUM70804721,2021-09-02 20:08:22.652984
9b58f364-e3f6-4e86-b694-63a3db48f767,GBUM71500582,2021-09-02 20:08:22.652984
5256465b-5221-49b5-8055-12308bc274e7,GBF087700738,2021-09-02 20:08:22.652984
63cf9d04-61f5-4990-add4-6bb8af365fa4,GBUM70804735,2021-09-02 20:08:22.652984
63cf9d04-61f5-4990-add4-6bb8af365fa4,GBUM71500583,2021-09-02 20:08:22.652984
4ded88b1-f65f-4cb3-aae4-3170ff18118e,GBUM70804723,2021-09-02 20:08:22.652984
4ded88b1-f65f-4cb3-aae4-3170ff18118e,GBUM71500584,2021-09-02 20:08:22.652984
1f957b02-0d97-4bed-8ae9-2856eafdf1b8,GBF087500148,2021-09-02 20:08:22.652984
57ebfe52-c336-4a5a-b9a7-43d5fadd6913,GBF087500011,2021-09-02 20:08:22.652984
a60b88f1-aa9f-4462-895d-b3ac16ab9ba4,GBF087500011,2021-09-02 20:08:22.652984
b88fb664-b176-44cd-8ed2-7ca4636602b7,GBF087700749,2021-09-02 20:08:22.652984
a2f645f1-c475-42b9-8702-becc3b5382ae,BRFDZ0500255,2021-09-02 20:08:22.652984
a2f645f1-c475-42b9-8702-becc3b5382ae,GBF087500160,2021-09-02 20:08:22.652984
a92e6f66-6889-4b80-967b-d0e09b3c7bdd,GBF087500001,2021-09-02 20:08:22.652984
db63cb9b-a80c-4a81-9f0e-9a24fd4aec7c,GBF087500001,2021-09-02 20:08:22.652984
f8e4d81d-e61e-444a-afaa-ed6479ceee56,GBF087700755,2021-09-02 20:08:22.652984
05312234-bd1c-4245-b022-b565373fb335,GBF087500001,2021-09-02 20:08:22.652984
05312234-bd1c-4245-b022-b565373fb335,GBF087500160,2021-09-02 20:08:22.652984
94e40522-c8a1-4cc9-85ec-fc41ace59b13,GBUM70818160,2021-09-02 20:08:22.652984
e639bff3-0ea5-445e-9520-4af0ffec3fcd,GBF087700741,2021-09-02 20:08:22.652984
425b9e68-8adc-4058-8033-1a238d978559,GBF087500147,2021-09-02 20:08:22.652984
bb5d322a-33b1-4671-90f4-27a287a2bef5,GBF088000015,2021-09-02 20:08:22.652984
b9f4e13b-68cc-49ee-b7d1-32d29e730171,GBCBU7310344,2021-09-02 20:08:22.652984
acb055aa-bfc7-41d3-9ac9-e3fa2a688116,GBF087800743,2021-09-02 20:08:22.652984
065d9771-b310-49a8-96a5-037eecda9ecf,GBF087600038,2021-09-02 20:08:22.652984
59eec780-b8a7-493b-854a-71eae2ace574,GBF088100019,2021-09-02 20:08:22.652984
4b4af884-3b45-4b58-ac25-2b452606c3ec,GBF080080448,2021-09-02 20:08:22.652984
4b4af884-3b45-4b58-ac25-2b452606c3ec,GBFO87500015,2021-09-02 20:08:22.652984
f113d265-0551-4c96-a38b-22b652d8b4a5,GBF087500015,2021-09-02 20:08:22.652984
