scope_name,gross_payable,withholding_tax,net_payable,page_number,Datestamp
US 065824000 TONY MERCEDES ENTERPRISES LLC (Pepper Drive Music),17556.223,-116.932,17439.291,12,2021-09-02 19:59:26.461843
US 065824000 TONY MERCEDES ENTERPRISES LLC - (Tony Mercedes Music),26433.992,-177.707,26256.285,12,2021-09-02 19:59:26.461843
